"lon" "lat" "MCS" "eq.id" "Mw" "LatEp" "LonEp" "dist"
14.325 41.592 9 "153" 6.96 41.302 14.711 45.5509944121231
14.849 41.74 9 "153" 6.96 41.302 14.711 50.0401057824499
14.108 41.783 9 "153" 6.96 41.302 14.711 73.3422490853338
14.063 41.655 9 "153" 6.96 41.302 14.711 66.744795440257
14.731 41.701 9 "153" 6.96 41.302 14.711 44.3980275594204
14.067 41.657 9 "153" 6.96 41.302 14.711 66.6064583676853
14.346 41.559 9 "153" 6.96 41.302 14.711 41.7446792840385
13.9 42.235 9 "153" 6.96 41.302 14.711 123.638379035644
14.722 41.46 9 "153" 6.96 41.302 14.711 17.5927531447679
14.666 41.459 9 "153" 6.96 41.302 14.711 17.8567701161359
